epoch,train_loss,val_accuracy,lr
0,0.6566873964733547,0.6359166666666667,0.0009890738003669028
1,0.6607291844156054,0.6225,0.0009567727288213003
2,0.6739621017067521,0.5180833333333333,0.0009045084971874737
3,0.6906960233052571,0.5430833333333334,0.0008345653031794292
4,0.6852649156252543,0.5445,0.00075
5,0.6786481086942885,0.5563333333333333,0.0006545084971874737
6,0.6851699400124727,0.5469166666666667,0.0005522642316338268
7,0.6796297454833984,0.5585,0.0004477357683661734
8,0.6812416698314525,0.5583333333333333,0.0003454915028125264
9,0.6858272277690746,0.5675833333333333,0.0002500000000000001
10,0.6818317716916402,0.5420833333333334,0.00016543469682057103
11,0.6903603926234775,0.5443333333333333,9.549150281252631e-05
12,0.6904504748980205,0.5381666666666667,4.322727117869951e-05
13,0.6904986410847417,0.5366666666666666,1.0926199633097156e-05
14,0.6901902906629774,0.53,0.0
